,name,description,type,url
398,System BZIP2 Decompression,This test measures the time to decompress a Linux kernel tarball using BZIP2.,Processor,https://openbenchmarking.org/test/pts/system-decompress-bzip2
399,System GZIP Decompression,This test measures the time to decompress a gzipped tarball.,Processor,https://openbenchmarking.org/test/pts/system-decompress-gzip
400,System Libtiff Decompression,This test measures the time to decompress an image from TIFF to RGBA.,Processor,https://openbenchmarking.org/test/pts/system-decompress-tiff
401,System XZ Decompression,This test measures the time to decompress a Linux kernel tarball using XZ.,Processor,https://openbenchmarking.org/test/pts/system-decompress-xz
402,System JPEG Library Decode,This test measures the time to decode a jpeg file using the system's libjpeg.,Processor,https://openbenchmarking.org/test/pts/system-libjpeg
403,System Libxml2 Parsing,This test measures the time to parse a random XML file with libxml2 via xmllint using the streaming API.,Processor,https://openbenchmarking.org/test/pts/system-libxml2
404,Systemd Kernel Boot Time,This test uses systemd-analyze to report the kernel boot time.,Processor,https://openbenchmarking.org/test/pts/systemd-boot-kernel
405,Systemd Total Boot Time,This test uses systemd-analyze to report the entire boot time.,Processor,https://openbenchmarking.org/test/pts/systemd-boot-total
406,Systemd Userspace Boot Time,This test uses systemd-analyze to report the userspace boot time.,Processor,https://openbenchmarking.org/test/pts/systemd-boot-userspace
407,t-test1,This is a test of t-test1 for basic memory allocator benchmarks,Memory,https://openbenchmarking.org/test/pts/t-test1
408,Tachyon,This is a test of the threaded Tachyon a parallel ray-tracing system.,Processor,https://openbenchmarking.org/test/pts/tachyon
409,The Talos Principle,This is a benchmark of The Talos Principle,Graphics,https://openbenchmarking.org/test/pts/talos-principle
410,Tensorflow,This is a benchmark of the Tensorflow deep learning framework using the CIFAR10 data set.,System,https://openbenchmarking.org/test/pts/tensorflow
411,TensorFlow Lite,This is a benchmark of the TensorFlow Lite implementation,System,https://openbenchmarking.org/test/pts/tensorflow-lite
412,NVIDIA TensorRT Inference,This test profile uses any existing system installation of NVIDIA TensorRT for carrying out inference benchmarks with various neural networks.,Graphics,https://openbenchmarking.org/test/system/tensorrt-inference
413,Tesseract,Tesseract is a fork of Cube 2 Sauerbraten with numerous graphics and game-play improvements,Graphics,https://openbenchmarking.org/test/pts/tesseract
414,Tesseract OCR,Tesseract-OCR is the open-source optical character recognition (OCR) engine for the conversion of text within images to raw text output,System,https://openbenchmarking.org/test/system/tesseract-ocr
415,Team Fortress 2,This is a benchmark of Valve's free-to-play Team Fortress 2 game,Graphics,https://openbenchmarking.org/test/pts/tf2
416,A Total War Saga: THRONES OF BRITANNIA,A Total War Saga: THRONES OF BRITANNIA on Steam.The test profile assumes you have a Steam account have Steam installed for the system and that you own a copy of this game,Graphics,https://openbenchmarking.org/test/pts/thronesofbritannia
417,Tinymembench,This benchmark tests the system memory (RAM) performance.,Memory,https://openbenchmarking.org/test/pts/tinymembench
418,Threaded I/O Tester,Tiotester (Threaded I/O Tester) benchmarks the hard disk drive / file-system performance.,Disk,https://openbenchmarking.org/test/pts/tiobench
419,libjpeg-turbo tjbench,tjbench is a JPEG decompression/compression benchmark that is part of libjpeg-turbo a JPEG image codec library optimized for SIMD instructions on modern CPU architectures.,System,https://openbenchmarking.org/test/pts/tjbench
420,TNN,TNN is an open-source deep learning reasoning framework developed by Tencent.,System,https://openbenchmarking.org/test/pts/tnn
421,KTX-Software toktx,This is a benchmark of The Khronos Group's KTX-Software library and tools,System,https://openbenchmarking.org/test/pts/toktx
422,Tomb Raider,This is a benchmark of the Tomb Raider (2013) game,Graphics,https://openbenchmarking.org/test/pts/tomb-raider
423,toyBrot Fractal Generator,ToyBrot is a Mandelbrot fractal generator supporting C++ threads/tasks OpenMP Threaded Building Blocks and other targets.,Processor,https://openbenchmarking.org/test/pts/toybrot
424,Triangle Slammer,Triangle Slammer is an OpenGL benchmark of the PERL language.,Graphics,https://openbenchmarking.org/test/pts/trislam
425,TSCP,This is a performance test of TSCP Tom Kerrigan's Simple Chess Program which has a built-in performance benchmark.,Processor,https://openbenchmarking.org/test/pts/tscp
426,TTSIOD 3D Renderer,A portable GPL 3D software renderer that supports OpenMP and Intel Threading Building Blocks with many different rendering modes,Processor,https://openbenchmarking.org/test/pts/ttsiod-renderer
427,Tungsten Renderer,Tungsten is a C++ physically based renderer that makes use of Intel's Embree ray tracing library.,Processor,https://openbenchmarking.org/test/pts/tungsten
428,Total War: Three Kingdoms,Total War: Three Kingdoms on Steam.The test profile assumes you have a Steam account have Steam installed for the system and that you own a copy of this game,Graphics,https://openbenchmarking.org/test/pts/twtk
429,Total War: WARHAMMER II,Total War: WARHAMMER II on Steam.The test profile assumes you have a Steam account have Steam installed for the system and that you own a copy of this game,Graphics,https://openbenchmarking.org/test/pts/tww2
430,Metro 2033 Redux,A demo of Unreal Engine 4.,Graphics,https://openbenchmarking.org/test/pts/ue4-atlantis
431,Elemental Demo,A demo of Unreal Engine 4.,Graphics,https://openbenchmarking.org/test/pts/ue4-elemental
432,Matinee Fight Scene Demo,A demo of Unreal Engine 4.,Graphics,https://openbenchmarking.org/test/pts/ue4-matinee
433,Landscape Mountains Demo,A demo of Unreal Engine 4.,Graphics,https://openbenchmarking.org/test/pts/ue4-mountains
434,Unigine Heaven,This test calculates the average frame-rate within the Heaven demo for the Unigine engine,Graphics,https://openbenchmarking.org/test/pts/unigine-heaven
435,Unigine Sanctuary,This test calculates the average frame-rate within the Sanctuary demo for the Unigine engine,Graphics,https://openbenchmarking.org/test/pts/unigine-sanctuary
436,Unigine Superposition,This test calculates the average frame-rate within the Valley demo for the Unigine engine released in February 2013,Graphics,https://openbenchmarking.org/test/pts/unigine-super
437,Unigine Tropics,This test calculates the average frame-rate within the Tropics / Islands demo for the Unigine engine,Graphics,https://openbenchmarking.org/test/pts/unigine-tropics
438,Unigine Valley,This test calculates the average frame-rate within the Valley demo for the Unigine engine released in February 2013,Graphics,https://openbenchmarking.org/test/pts/unigine-valley
439,Unpacking Firefox,This simple test profile measures how long it takes to extract the .tar.xz source package of the Mozilla Firefox Web Browser.,System,https://openbenchmarking.org/test/pts/unpack-firefox
440,Unpacking The Linux Kernel,This test measures how long it takes to extract the .tar.xz Linux kernel package.,Disk,https://openbenchmarking.org/test/pts/unpack-linux
441,Unvanquished,Unvanquished is a modern fork of the Tremulous first person shooter,Graphics,https://openbenchmarking.org/test/pts/unvanquished
442,Urban Terror,Urban Terror is an open-source game that uses the ioquake3 engine,Graphics,https://openbenchmarking.org/test/pts/urbanterror
443,Unreal Tournament 2004 Demo,This test calculates the average frame-rate within the Unreal Tournament 2004 game demo from Epic Games.,Graphics,https://openbenchmarking.org/test/pts/ut2004-demo
444,Chaos Group V-RAY,This is a test of Chaos Group's V-RAY benchmark,System,https://openbenchmarking.org/test/pts/v-ray
445,1080p H.264 Video Playback,This is a test profile that will record the CPU usage while a 1080p H.264 video sample of Big Buck Bunny is played back for several minutes using MPlayer.,Graphics,https://openbenchmarking.org/test/pts/video-cpu-usage
446,ViennaCL,ViennaCL is an open-source linear algebra library written in C++ and with support for OpenCL and OpenMP,Graphics,https://openbenchmarking.org/test/pts/viennacl
447,VkFFT,VkFFT is a Fast Fourier Transform (FFT) Library that is GPU accelerated by means of the Vulkan API,Graphics,https://openbenchmarking.org/test/pts/vkfft
448,VKMark,VKMark is a collection of Vulkan tests/benchmarks.,Graphics,https://openbenchmarking.org/test/pts/vkmark
449,vkpeak,Vkpeak is a Vulkan compute benchmark inspired by OpenCL's clpeak,Graphics,https://openbenchmarking.org/test/pts/vkpeak
450,VkResample,VkResample is a Vulkan-based image upscaling library based on VkFFT,Graphics,https://openbenchmarking.org/test/pts/vkresample
451,VOSK Speech Recognition Toolkit,VOSK is an open-source offline speech recognition API/toolkit,Processor,https://openbenchmarking.org/test/pts/vosk
452,VP9 libvpx Encoding,This is a standard video encoding performance test of Google's libvpx library and the vpxenc command for the VP9/WebM format.,Processor,https://openbenchmarking.org/test/pts/vpxenc
453,Waifu2x-NCNN Vulkan,Waifu2x-NCNN is an NCNN neural network implementation of the Waifu2x converter project and accelerated using the Vulkan API,Graphics,https://openbenchmarking.org/test/pts/waifu2x-ncnn
454,Warsow,This is a benchmark of Warsow a popular open-source first-person shooter,Graphics,https://openbenchmarking.org/test/pts/warsow
455,WebP Image Encode,This is a test of Google's libwebp with the cwebp image encode utility and using a sample 6000x4000 pixel JPEG image as the input.,Processor,https://openbenchmarking.org/test/pts/webp
456,WebP2 Image Encode,This is a test of Google's libwebp2 library with the WebP2 image encode utility and using a sample 6000x4000 pixel JPEG image as the input similar to the WebP/libwebp test profile,Processor,https://openbenchmarking.org/test/pts/webp2
457,WinSAT,WinSAT is the Windows System Assessment Tool for Microsoft Windows.,System,https://openbenchmarking.org/test/windows/winsat
458,WireGuard + Linux Networking Stack Stress Test,This is a benchmark of the WireGuard secure VPN tunnel and Linux networking stack stress test,Network,https://openbenchmarking.org/test/system/wireguard
459,WRF,"WRF the Weather Research and Forecasting Model is a ""next-generation mesoscale numerical weather prediction system designed for both atmospheric research and operational forecasting applications",System,https://openbenchmarking.org/test/pts/wrf
460,x11perf,x11perf is a very basic performance/regression test for X.Org.,Graphics,https://openbenchmarking.org/test/pts/x11perf
461,x264,This is a simple test of the x264 H.264/AVC encoder.,Processor,https://openbenchmarking.org/test/pts/x264
462,x265,This is a simple test of the x265 encoder run on the CPU with a sample video file.,Processor,https://openbenchmarking.org/test/pts/x265
463,Xmrig,Xmrig is an open-source cross-platform CPU/GPU miner for RandomX KawPow CryptoNight and AstroBWT,Processor,https://openbenchmarking.org/test/pts/xmrig
464,Xonotic,This is a benchmark of Xonotic which is a fork of the DarkPlaces-based Nexuiz game,Graphics,https://openbenchmarking.org/test/pts/xonotic
465,X-Plane,This is a test of X-Plane a realistic multi-platform flight simulator designed for personal computers,Graphics,https://openbenchmarking.org/test/pts/xplane11
466,Xsbench,XSBench is a mini-app representing a key computational kernel of the Monte Carlo neutronics application OpenMC.,System,https://openbenchmarking.org/test/pts/xsbench
467,Xsbench OpenCL,Xsbench benchmark in OpenCL via GPUOpen.,System,https://openbenchmarking.org/test/pts/xsbench-cl
468,Y-Cruncher,Y-Cruncher is a multi-threaded Pi benchmark.,Processor,https://openbenchmarking.org/test/pts/y-cruncher
469,YafaRay,YafaRay is an open-source physically based montecarlo ray-tracing engine.,Processor,https://openbenchmarking.org/test/pts/yafaray
470,yquake2,This is a test of Yamagi Quake II,Graphics,https://openbenchmarking.org/test/pts/yquake2
